"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_002E","B01002_002M","B01002_003E","B01002_003M"
"id","Geographic Area Name","Estimate!!Median age --!!Total:","Margin of Error!!Median age --!!Total:","Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female"
"1400000US53029971700","Census Tract 9717, Island County, Washington","57.1","2.1","57.0","2.5","57.5","2.6"
"1400000US53029971800","Census Tract 9718, Island County, Washington","60.1","2.2","60.8","2.5","58.7","2.3"
"1400000US53029971900","Census Tract 9719, Island County, Washington","57.3","2.7","56.1","4.1","59.9","2.9"
"1400000US53029972000","Census Tract 9720, Island County, Washington","55.2","4.8","55.4","6.7","55.0","4.3"
"1400000US53029972100","Census Tract 9721, Island County, Washington","56.7","2.4","57.0","3.3","56.6","2.3"
"1400000US53029992201","Census Tract 9922.01, Island County, Washington","-","**","-","**","-","**"
"1400000US53031950202","Census Tract 9502.02, Jefferson County, Washington","52.1","6.6","52.4","7.1","51.0","8.2"
"1400000US53031950300","Census Tract 9503, Jefferson County, Washington","63.1","1.0","63.9","1.5","62.6","0.6"
"1400000US53031950400","Census Tract 9504, Jefferson County, Washington","53.7","4.6","53.2","8.4","55.3","5.2"
"1400000US53031950500","Census Tract 9505, Jefferson County, Washington","62.1","2.7","63.1","3.1","60.7","2.4"
"1400000US53031950601","Census Tract 9506.01, Jefferson County, Washington","56.5","4.6","56.8","6.3","56.4","4.8"
"1400000US53031950602","Census Tract 9506.02, Jefferson County, Washington","50.4","4.7","49.3","7.9","50.6","4.5"
"1400000US53031950702","Census Tract 9507.02, Jefferson County, Washington","47.7","2.9","45.2","5.8","55.5","7.2"
"1400000US53031990000","Census Tract 9900, Jefferson County, Washington","-","**","-","**","-","**"
"1400000US53033000100","Census Tract 1, King County, Washington","34.9","1.4","33.9","2.2","36.4","4.2"
"1400000US53033000200","Census Tract 2, King County, Washington","38.1","2.1","34.8","4.1","40.8","4.4"
"1400000US53033000300","Census Tract 3, King County, Washington","36.4","2.4","35.1","1.8","40.2","4.5"
"1400000US53033000401","Census Tract 4.01, King County, Washington","46.2","2.9","40.6","7.5","50.8","8.4"
"1400000US53033000402","Census Tract 4.02, King County, Washington","44.0","4.8","37.9","3.1","47.5","5.1"
"1400000US53033000500","Census Tract 5, King County, Washington","51.9","2.4","50.8","3.7","53.0","2.3"
"1400000US53033000600","Census Tract 6, King County, Washington","36.9","1.7","36.6","2.4","37.1","2.2"
"1400000US53033000700","Census Tract 7, King County, Washington","34.5","3.0","33.4","4.4","35.4","2.2"
