tract_id,median_age
53029970500,40.3
53029970601,28.9
53029970602,32.5
53029970700,31.1
53029970800,37.4
53029970900,26.1
53029971000,51.7
53029971100,59.7
53029971300,58.6
53029971400,55.9
53029971500,53.6
53029971600,50.7
53029971700,57.1
53029971800,60.1
53029971900,57.3
53029972000,55.2
53029972100,56.7
53029992201,-
53031950202,52.1
53031950300,63.1
53031950400,53.7
53031950500,62.1
53031950601,56.5
53031950602,50.4
53031950702,47.7
53031990000,-
53033000100,34.9
53033000200,38.1
53033000300,36.4
53033000401,46.2
53033000402,44.0
53033000500,51.9
53033000600,36.9
53033000700,34.5
53033000800,41.5
53033000900,52.2
53033001000,38.8
53033001100,42.1
53033001200,34.7
53033001300,35.6
53033001400,35.2
53033001500,45.1
53033001600,42.4
53033001701,33.5
53033001702,37.4
53033001800,32.8
53033001900,34.1
53033002000,38.3
53033002100,36.1
53033002200,42.0
53033002400,40.9
53033002500,37.9
53033002600,35.6
53033002700,35.4
53033002800,36.9
53033002900,39.8
53033003000,38.1
53033003100,41.5
53033003200,36.8
53033003300,34.9
53033003400,36.3
53033003500,39.5
53033003600,31.8
53033003800,34.9
53033003900,41.5
53033004000,37.2
53033004100,39.1
53033004200,41.7
53033004301,29.9
53033004302,22.0
53033004400,25.1
53033004500,28.7
53033004600,37.7
53033004700,34.0
53033004800,33.7
53033004900,30.6
53033005000,30.2
53033005100,38.3
53033005200,24.5
53033005301,21.9
53033005302,19.4
53033005400,31.8
53033005600,47.2
53033005700,41.2
53033005801,33.6
53033005802,33.7
53033005900,28.0
53033006000,34.0
53033006100,35.4
53033006200,41.1
53033006300,45.4
53033006400,36.5
53033006500,37.7
53033006600,30.1
53033006700,30.3
53033006800,37.2
53033006900,38.4
53033007000,35.9
53033007100,31.4
53033007200,30.6
53033007300,32.4
53033007401,32.7
53033007402,30.7
53033007500,31.2
53033007600,33.5
53033007700,34.4
53033007800,42.3
53033007900,33.4
53033008001,35.2
53033008002,39.2
53033008100,43.2
53033008200,35.0
53033008300,36.8
53033008400,31.8
53033008500,37.4
53033008600,23.8
53033008700,32.3
53033008800,34.3
53033008900,36.9
53033009000,37.9
53033009100,48.6
53033009200,45.3
53033009300,39.4
53033009400,35.3
53033009500,41.9
53033009600,49.1
53033009701,45.6
53033009702,41.7
53033009800,40.6
53033009900,39.6
53033010001,35.2
53033010002,37.2
53033010100,36.7
53033010200,42.9
53033010300,35.1
53033010401,44.3
53033010402,37.8
53033010500,39.7
53033010600,42.4
53033010701,34.3
53033010702,30.6
53033010800,37.7
53033010900,43.0
53033011001,37.6
53033011002,34.9
53033011101,36.8
53033011102,36.1
53033011200,37.8
53033011300,39.5
53033011401,34.1
53033011402,37.1
53033011500,39.7
53033011600,45.7
53033011700,43.5
53033011800,37.8
53033011900,41.1
53033012000,40.2
53033012100,48.2
53033020100,52.0
53033020200,47.4
53033020300,37.0
53033020401,39.3
53033020402,37.7
53033020500,40.0
53033020600,41.9
53033020700,39.4
53033020800,48.9
53033020900,43.6
53033021000,41.4
53033021100,38.3
53033021300,44.9
53033021400,44.3
53033021500,46.0
53033021600,41.9
53033021700,36.7
53033021802,32.8
53033021803,40.6
53033021804,35.3
53033021903,38.3
53033021904,37.1
53033021905,36.2
53033021906,37.1
53033022001,43.8
53033022003,36.4
53033022005,32.3
53033022006,41.7
53033022101,41.9
53033022102,39.6
53033022201,37.9
